,old,"0.01,4,50","0.01,4,100","0.001,4,50","0.001,4,100","0.01,5,50","0.01,5,75","0.001,5,50","0.001,5,75","0.005,3,50","0.005,3,75","0.001,3,50","0.001,3,75"
electricity,80.7202079,81.45031556,81.35131791,80.7202079,81.02957555,81.99480262,81.28944438,81.15332261,80.75733201,80.75733201,81.89580497,81.20282143,81.21519614
bank-marketing,77.72277228,76.64266427,76.95769577,77.72277228,77.99279928,77.90279028,75.92259226,78.53285329,77.81278128,77.72277228,77.85778578,77.58775878,78.12781278
Diabetes130US,60.90829928,60.67385625,60.86141068,60.90829928,61.0020765,60.47960346,60.27195392,60.9283944,60.72744323,60.91499766,60.83461719,60.76093509,60.98198138
california,87.70189202,86.10982926,88.18643286,87.70189202,88.18643286,87.84033226,87.56345178,87.37886479,88.69404707,87.79418551,88.14028611,87.67881864,87.60959852
credit,74.99287952,74.36627741,75.30618058,74.99287952,75.04984335,76.41697522,76.07519225,74.56565081,75.53403589,74.56565081,74.70806038,75.81885503,75.07832526
covertype,91.09734677,92.1840201,92.08653046,91.09734677,94.23634515,,,,,,,,
MagicTelescope,84.3772242,83.77224199,83.59430605,84.3772242,85.19572954,84.41281139,84.6975089,85.23131673,85.40925267,85.51601423,84.76868327,85.12455516,84.94661922
house_16H,86.34438956,86.09738885,84.82709951,86.34438956,86.66196189,84.08609739,83.59209598,86.30910374,84.96824277,86.02681722,84.68595625,86.41496119,86.09738885
eye_movements,57.16072545,55.09693558,55.28455285,57.16072545,58.28642902,52.72045028,55.09693558,57.16072545,56.28517824,55.65978737,56.03502189,55.84740463,52.34521576
default-of-credit-card-clients,69.22525108,69.61979914,68.22094692,69.22525108,70.44476327,68.43615495,68.25681492,70.30129125,70.22955524,68.93830703,70.6241033,69.29698709,69.29698709
heloc,71.61904762,71.66666667,71.9047619,71.61904762,71.61904762,71.66666667,71.71428571,70.95238095,71.0952381,71.76190476,71.9047619,71.66666667,71.19047619
Higgs,75.02101968,,,,,,,,,,,,
pol,98.91406988,98.67799811,98.20585458,98.91406988,98.58356941,98.77242682,98.53635505,98.63078376,98.86685552,98.86685552,98.72521246,98.77242682,98.67799811
MiniBooNE,93.38595004,93.07285891,93.49683648,93.38595004,93.1315635,93.65990477,93.39247277,92.96849521,92.94240428,93.3989955,93.04676799,93.29463179,93.37290457
jannis,78.15084353,77.49751902,77.43962951,78.15084353,78.87032749,77.64637777,77.58848826,78.52299041,78.10122395,77.82831624,77.74561694,77.82004631,78.1425736
Bioresponse,75.76177285,72.29916898,73.54570637,75.76177285,76.59279778,75.34626039,69.11357341,75.06925208,75.76177285,73.13019391,74.51523546,76.59279778,77.28531856