,samples,features,DLGN,LCN,LatentTree,TAO,SDT,FT Transformer,GradientBoosting,MLP,RandomForest,Resnet,SAINT,XGBoost,Max,Argmax,Model Max
electricity,38474,7,81.99,69.19,76.61,81.52,76.414,81.94,86.65,80.48,86.1,81.06,81.81,86.93,86.93,12,86.93
bank-marketing,10578,7,78.53,72.95,77.81,77.41,77.768,79.33,80.2,78.89,79.8,78.62,79.13,80.3,80.3,12,86.93
Diabetes130US,71090,7,61,58.87,60.66,60.51,60.835,60.42,60.4,60.33,60.47,60.44,60.47,60.59,61,1,81.99
california,20634,8,88.69,67.74,85.93,86.46,84.656,88.64,89.75,86.74,89.26,87.79,88.81,90.1,90.1,12,86.93
credit,16714,10,76.42,60.92,51.32,76.42,73.284,77.53,77.23,76.85,77.25,77.01,75.99,77.34,77.53,6,81.94
covertype,566602,10,94.24,66.65,78.83,81.86,82.986,80.52,81.82,78.4,82.77,79.63,80.42,81.83,94.24,1,81.99
MagicTelescope,13376,10,85.52,68.04,82.46,83.49,83.06,85.89,85.36,85.41,85.43,85.72,84.75,85.96,85.96,12,86.93
house_16H,13488,16,86.66,71.91,84.93,85.53,84.721,87.84,88.2,87.72,87.96,87.34,88.44,88.8,88.8,12,86.93
eye_movements,7608,20,58.29,52.35,53.41,56.47,55.097,57.83,63.43,58.35,65.08,58.12,58.45,65.88,65.88,12,86.93
default-of-credit-card-clients,13272,20,70.62,64.13,67.54,69.8,69.763,71.57,71.72,70.58,71.81,70.57,71.5,71.56,71.81,9,86.1
heloc,10000,22,71.9,64.13,68.95,69.95,71.095,71.87,71.82,71.86,71.62,71.9,71.98,71.72,71.98,11,81.81
Higgs,940160,24,75.02,53.34,71,71.57,71.632,70.34,71.04,68.59,70.53,69.37,70.6,71.36,75.02,1,81.99
pol,10082,26,98.91,83.9,98.25,97.83,97.686,98.4,98.08,94.75,98.17,94.98,98,98.16,98.91,1,81.99
MiniBooNE,72998,50,93.66,69.56,89.97,91.98,88.885,93.51,93.31,93.5,92.67,93.59,93.65,93.68,93.68,12,86.93
jannis,57580,54,78.87,64.28,74.96,76.8,77.845,76.77,77.27,74.46,77.21,75.03,77.16,77.85,78.87,1,81.99
Bioresponse,3434,419,77.29,59,69.67,69.25,76.87,75.63,76.8,76.6,79.37,76.72,76.66,79.2,79.37,9,86.1